DATE,MSPCPI
2010-01-01,31284.0
2011-01-01,32532.0
2012-01-01,33632.0
2013-01-01,34222.0
2014-01-01,34846.0
2015-01-01,35470.0
2016-01-01,35946.0
2017-01-01,36817.0
2018-01-01,37822.0
2019-01-01,39062.0
2020-01-01,42129.0
