DATE,WIPCPI
2010-01-01,39185.0
2011-01-01,41262.0
2012-01-01,43043.0
2013-01-01,43194.0
2014-01-01,44905.0
2015-01-01,46800.0
2016-01-01,47509.0
2017-01-01,49105.0
2018-01-01,51250.0
2019-01-01,52918.0
2020-01-01,55593.0
