DATE,NJPCPI
2010-01-01,51131.0
2011-01-01,53237.0
2012-01-01,55115.0
2013-01-01,55599.0
2014-01-01,58137.0
2015-01-01,60551.0
2016-01-01,62213.0
2017-01-01,64410.0
2018-01-01,67142.0
2019-01-01,69626.0
2020-01-01,73460.0
