DATE,FLPCPI
2010-01-01,38865.0
2011-01-01,40482.0
2012-01-01,41475.0
2013-01-01,41069.0
2014-01-01,43388.0
2015-01-01,45493.0
2016-01-01,46253.0
2017-01-01,48774.0
2018-01-01,51150.0
2019-01-01,53034.0
2020-01-01,55675.0
