DATE,NDPCPI
2010-01-01,44284.0
2011-01-01,49110.0
2012-01-01,56671.0
2013-01-01,55222.0
2014-01-01,57963.0
2015-01-01,54503.0
2016-01-01,52592.0
2017-01-01,53142.0
2018-01-01,56340.0
2019-01-01,58163.0
2020-01-01,61530.0
