DATE,WVPCPI
2010-01-01,32764.0
2011-01-01,34594.0
2012-01-01,35478.0
2013-01-01,35354.0
2014-01-01,36618.0
2015-01-01,37529.0
2016-01-01,37453.0
2017-01-01,39258.0
2018-01-01,41406.0
2019-01-01,42500.0
2020-01-01,44994.0
