DATE,UTPCPI
2010-01-01,32226.0
2011-01-01,34232.0
2012-01-01,36085.0
2013-01-01,36628.0
2014-01-01,38328.0
2015-01-01,40668.0
2016-01-01,42008.0
2017-01-01,43711.0
2018-01-01,46377.0
2019-01-01,49115.0
2020-01-01,52204.0
