DATE,MOOPCI
2010-01-01,36671.0
2011-01-01,38128.0
2012-01-01,39761.0
2013-01-01,40386.0
2014-01-01,41084.0
2015-01-01,42932.0
2016-01-01,44058.0
2017-01-01,44781.0
2018-01-01,46376.0
2019-01-01,48568.0
2020-01-01,50030.0
