DATE,SDPCPI
2010-01-01,41417.0
2011-01-01,44726.0
2012-01-01,45384.0
2013-01-01,45525.0
2014-01-01,47374.0
2015-01-01,49040.0
2016-01-01,49018.0
2017-01-01,50145.0
2018-01-01,52346.0
2019-01-01,54725.0
2020-01-01,59281.0
