"State","Vcrime","PR","UR","PIPC","RGDP","Density","Marriage","Immigrants","Temperature","Divorce"
"Nebraska",273.11,0.119,0.0348047270430253,48775,108908.1,24.65,6.32427697829503,4890.9,49.62,8.35
"Nevada",619.91,0.1452,0.0827502897845589,43493.7,138012.64,26.45,31.502662549274,10948,51.44,11.25
"New Hampshire",184.84,0.0818,0.0408894145022204,54687.6,71486,150.4,6.98051003465747,2288.7,44.65,8.9
"New Jersey",271.3,0.1029,0.0660987274894816,59716.1,529857.14,1229.25,5.2600364514097,53156.2,54.25,6.15
"New Mexico",657.96,0.2055,0.0649091461890679,37818.9,89273.26,17.25,6.88301166856678,3779.6,55,10.15
"New York",384.05,0.1493,0.0624561082259565,58581.9,1371720.34,419.95,7.01560269687517,140910.4,46.49,6.7
"North Carolina",364.13,0.1634,0.0674776703197846,41183.3,471399.62,205.4,6.6691549140486,18486.7,60.11,9.15
"North Dakota",248.41,0.1125,0.0288404489724582,53799,51850.41,10.5,6.1436157555343,1361.2,41.11,8.45
"Ohio",299.21,0.1502,0.0634059026585557,43741.4,570488.87,285.55,5.75897355718534,15532.5,52.11,9.35
"Oklahoma",461.9,0.1639,0.0459962903803436,43580.3,185124.69,56.2,6.87805378829944,4983.3,60.78,12.25
"Oregon",260.05,0.1477,0.0655558989734353,43659.2,190326.87,42,6.55903403925465,8414.1,48.13,9.85
"Pennsylvania",337.71,0.1305,0.0613084056485736,49612.9,672351.99,287.25,5.54600377062781,25458.3,49.94,6.75
"Rhode Island",243.85,0.1328,0.0735617767027737,49017.3,52244.89,1039.75,6.30610577864343,3782.9,51.31,8.05
"South Carolina",545,0.1681,0.0655729947321143,38888.3,190547.62,162.05,7.08052658306749,4534.1,63.95,7.2
"South Dakota",327.98,0.133,0.035658609249941,47970,44702.83,11.2,7.02636330193912,1202.6,45.6,7.45
"Tennessee",626.04,0.1672,0.0621748814860766,41605.2,300041.38,160.75,8.42477408637936,8966.5,58.9,10.05
"Texas",424.29,0.1633,0.0552535085694532,46517.5,1550373.9,103.95,6.7705548959734,99873.1,66.23,10.25
"Utah",220.1,0.1137,0.0431069501220374,39937.8,143002.56,36.65,8.25217997488421,6322.4,49.49,10.1
"Vermont",142.3,0.1105,0.0397578770228103,48697.2,29179.94,68.85,8.36552124532592,825.3,43.63,9.15
"Virginia",202.73,0.1124,0.0481926845824656,51832,457517.03,210.6,6.70816913317789,27947.9,56.5,9.05
"Washington",302.96,0.1241,0.0616695062372112,52181.1,443925.72,108.55,6.29415407746463,24587.9,47.52,9.2
"West Virginia",313.56,0.179,0.0649863810900342,37295.4,70871.05,75.85,6.54996098455988,786.3,53.11,10.15
"Wisconsin",278.36,0.1209,0.052945660011113,45917.1,285536.29,106.9,5.42397745217917,6541.6,44,6.95
"Wyoming",214.12,0.1119,0.0493250293499489,55244.8,38974.12,5.85,7.38153128257293,449.9,42.57,10.4
