"Year","State","Violent.Crimes","Poverty.Rate","Unemployment.Rate","Income.Per.Capita","Real.GDP"
2011,"Mississippi",269.7,"0,226",0.0975921973196117,32532,98515.8
2011,"Oregon",252,"0,17",0.0960327345493388,37596,173831.7
2011,"Utah",212.7,"0,137",0.0705461994747408,34232,127992.5
2011,"Colorado",320.8,"0,134",0.0867282748951291,43635,271700.6
2011,"Oklahoma",479.5,"0,176",0.0559255668869757,39777,166327.2
2011,"Vermont",130.2,"0,11",0.0556232770623529,44150,29013.5
2011,"New Hampshire",167,"0,088",0.0545492301678647,49184,67559.1
2011,"New York",392.1,"0,159",0.0834678075913204,51167,1279527.1
2011,"Idaho",221,"0,154",0.0818455184975818,33627,58226.2
2011,"Michigan",490.3,"0,17",0.100063718345636,37829,414834.4
2011,"Montana",272.2,"0,14",0.0664166653361646,38584,41875.7
2011,"Tennessee",613.3,"0,181",0.0911692060946271,37260,276898.3
2011,"Wyoming",195.9,"0,113",0.0615944779868816,50726,39767.9
2011,"Florida",542.4,"0,171",0.100021619034599,40482,772021.3
2011,"Kansas",369.1,"0,142",0.0639575169725169,43057,139579.4
2011,"Virginia",213.6,"0,117",0.0656761614327425,47638,444288
2011,"North Dakota",225,"0,11",0.0334364158268627,49110,42340.8
2011,"Louisiana",549,"0,202",0.0742534806168837,39131,234975.7
2011,"Ohio",315.2,"0,164",0.0882922227070053,39287,541180.2
2011,"Rhode Island",256.6,"0,144",0.110225881750121,44403,51279.6
2011,"Kentucky",242.6,"0,196",0.0937838648056324,34360,175745.3
2012,"Alabama",420.1,"0,187",0.0815531101633725,35992,189245.5
2012,"Alaska",606.5,"0,114",0.0722741689665115,53729,58283.6
2012,"Arizona",405.9,"0,183",0.083392702328225,36272,271440
2012,"Arkansas",480.9,"0,191",0.0726052828086478,36533,108492.1
2012,"California",411.1,"0,169",0.105158591692999,48154,2113096.4
2012,"Colorado",320.2,"0,137",0.0798093700678852,45586,276823.1
2012,"Connecticut",272.8,"0,108",0.0836318247969454,64300,240911.9
2012,"Delaware",559.5,"0,122",0.07057311929465,44121,62354.6
2012,"Florida",515.3,"0,171",0.0864067921372241,41475,778545
2012,"Georgia",373.2,"0,192",0.0903978381070524,37507,447764.7
2012,"Hawaii",287.2,"0,119",0.0590868906774905,44121,71905.3
2012,"Idaho",200.9,"0,155",0.0740135860590715,35201,58323.9
2012,"Illinois",429.3,"0,147",0.0902602713821473,46190,726399.1
2012,"Indiana",331.8,"0,156",0.0821525575079565,39477,300513.9
2012,"Iowa",255.6,"0,126",0.0505658990838398,42953,158538.4
2012,"Kansas",353.9,"0,138",0.0571317989611059,45373,141818.2
2012,"Kentucky",238.2,"0,193",0.0820261948703411,35643,178143.7
2012,"Louisiana",555.3,"0,199",0.0674831682097503,41017,235384.7
2012,"Maine",123.2,"0,15",0.0719499612550786,40496,53679.7
2012,"Maryland",494.1,"0,101",0.0687069862404032,53016,332523.5
2012,"Massachusetts",428.4,"0,12",0.0670768051406861,56911,442916.9
2012,"Michigan",445.3,"0,175",0.0903861980180439,39355,422691.2
2012,"Minnesota",221.2,"0,114",0.0564764726282699,47822,298328.3
2012,"Mississippi",269.8,"0,238",0.0880987868114887,33632,100448.4
2012,"Missouri",447.4,"0,164",0.0716713143657505,39761,271535.1
2012,"Montana",267.5,"0,15",0.0580219806257725,40750,42340.9
2012,"Nebraska",253.2,"0,116",0.0388641502354835,46801,102725.9
2012,"Nevada",562.1,"0,158",0.115996331449041,39840,129312.9
2012,"New Hampshire",188,"0,097",0.0544694924406047,51224,68498.1
2012,"New Jersey",308.4,"0,107",0.0937581466189278,55115,517195.9
2012,"New Mexico",567.5,"0,206",0.0697982906277389,35793,87925.2
2012,"New York",398.1,"0,16",0.0861763032010585,53599,1328233.5
2012,"North Carolina",349.8,"0,18",0.0950848130177342,38984,445095.3
2012,"North Dakota",247,"0,107",0.029335315654267,56671,51832.6
2012,"Ohio",307.4,"0,163",0.0738882495477444,40837,545740.1
2012,"Oklahoma",454.8,"0,173",0.0508523018501268,42188,174874.4
2012,"Oregon",247.6,"0,168",0.0882678396553514,39370,174611
2012,"Pennsylvania",355,"0,139",0.0765418510741299,46022,647925.9
2012,"Rhode Island",247.5,"0,139",0.102294878294336,45978,51583
2012,"South Carolina",571.9,"0,182",0.0900595651733216,35852,177618.1
2012,"South Dakota",254.1,"0,134",0.0405303843676186,45384,43901.5
2012,"Tennessee",608.2,"0,18",0.0796409674578314,38873,286341.5
2012,"Texas",408.5,"0,179",0.0668141463742295,44193,1421180.1
2012,"Utah",195,"0,123",0.047760609658161,36085,129512.5
2012,"Vermont",135.2,"0,114",0.0481571995649041,45588,29241.3
2012,"Virginia",196.7,"0,119",0.0593682573253603,49366,445973.6
2012,"Washington",294.6,"0,136",0.076524084551788,47357,400530.6
2012,"West Virginia",315.9,"0,173",0.0723204241431929,35478,70322.2
2012,"Wisconsin",236.9,"0,129",0.0693433284159212,43043,277107.1
2012,"Wyoming",219.3,"0,126",0.0547818930041152,54104,38855.4
2013,"Alabama",449.9,"0,189",0.0733270936046771,36258,191369.8
2013,"Alaska",603.2,"0,091",0.0699724654304993,52843,55354.3
2013,"Arizona",428.9,"0,186",0.0780580143146442,36739,273481.9
2013,"Arkansas",469.1,"0,192",0.0705919901472653,36605,110752.4
2013,"California",423.1,"0,167",0.0903586049652001,48549,2179229
2013,"Colorado",308.9,"0,13",0.0674497288468553,47339,286259.1
