"STATE","RANK","VALUE"
"Maine","","0115"
"New Hampshire","","0153"
"Connecticut","0003","0184"
"Vermont","0004","0202"
"New Jersey","0005","0207"
"Virginia","0006","0208"
"Kentucky","","0217"
"Wyoming","","0217"
"Rhode Island","0009","0221"
"Idaho","0010","0224"
"Minnesota","0011","0236"
"Utah","0011","0236"
"Iowa","0013","0267"
"Mississippi","0014","0278"
"Oregon","0015","0284"
"North Dakota","0016","0285"
"Hawaii","0017","0286"
"Ohio","0018","0293"
"Wisconsin","0018","0293"
"Washington","0020","0294"
"Nebraska","0021","0301"
"Pennsylvania","0022","0306"
"West Virginia","0023","0317"
"Massachusetts","0024","0328"
"Georgia","0025","0341"
"New York","0026","0359"
"Indiana","0027","0371"
"North Carolina","0028","0372"
"Florida","0029","0378"
"Colorado","0030","0381"
"South Dakota","0031","0399"
"Montana","0032","0405"
"Illinois","0033","0407"
"Kansas","0034","0411"
"Texas","0035","0419"
"Delaware","0036","0423"
"Oklahoma","0037","0432"
"Michigan","0038","0437"
"California","0039","0441"
"Maryland","0040","0454"
"Arizona","0041","0455"
"Nevada","0042","0494"
"Missouri","0043","0495"
"Alabama","0044","0511"
"South Carolina","0044","0511"
"Louisiana","0046","0549"
"Arkansas","0047","0585"
"Tennessee","0048","0595"
"New Mexico","0049","0832"
"Alaska","0050","0867"
