"STATE","RANK","VALUE"
"Vermont","","0121"
"Maine","","0129"
"Virginia","0003","0196"
"Wyoming","0004","0205"
"Kentucky","0005","0210"
"New Hampshire","0006","0215"
"Idaho","","0217"
"Utah","0008","0224"
"Minnesota","0009","0234"
"Hawaii","0010","0252"
"Montana","0011","0253"
"Oregon","0012","0254"
"Rhode Island","0013","0257"
"Nebraska","0014","0262"
"Connecticut","0015","0263"
"North Dakota","0016","0270"
"Iowa","0017","0271"
"Mississippi","0018","0275"
"Wisconsin","0019","0278"
"Ohio","0020","0286"
"New Jersey","0021","0289"
"Washington","0022","0289"
"West Virginia","0023","0300"
"Colorado","0024","0308"
"South Dakota","0025","0317"
"Pennsylvania","0026","0335"
"Kansas","0027","0340"
"North Carolina","0028","0342"
"Indiana","0029","0357"
"Georgia","0030","0366"
"Illinois","0031","0380"
"New York","0032","0394"
"California","0033","0402"
"Texas","0034","0408"
"Massachusetts","0035","0413"
"Arizona","0036","0417"
"Alabama","0037","0431"
"Missouri","0038","0433"
"Oklahoma","0039","0441"
"Michigan","0040","0450"
"Arkansas","0041","0460"
"Florida","0042","0470"
"Maryland","0043","0474"
"Delaware","0044","0491"
"South Carolina","0045","0509"
"Louisiana","0046","0519"
"Tennessee","0047","0591"
"Nevada","0048","0603"
"New Mexico","0049","0613"
"Alaska","0050","0640"
