"STATE","RANK","VALUE"
"Maine","","0112"
"Vermont","","0172"
"New Hampshire","0003","0173"
"Virginia","0004","0200"
"Connecticut","0005","0207"
"New Jersey","0006","0208"
"Kentucky","","0212"
"Wyoming","","0212"
"Rhode Island","0009","0219"
"Minnesota","0010","0220"
"Idaho","0011","0227"
"Utah","0012","0233"
"Mississippi","0013","0234"
"Hawaii","0014","0249"
"Iowa","0015","0250"
"Ohio","0016","0280"
"North Dakota","0017","0281"
"Nebraska","0018","0285"
"Oregon","0019","0286"
"West Virginia","0020","0290"
"Wisconsin","0021","0295"
"Pennsylvania","0022","0306"
"Washington","0023","0312"
"Georgia","0024","0327"
"Massachusetts","0025","0338"
"New York","0026","0351"
"Montana","0027","0374"
"North Carolina","0028","0378"
"Indiana","0029","0382"
"Florida","0030","0385"
"Colorado","0031","0397"
"Illinois","0032","0404"
"South Dakota","0033","0405"
"Texas","0034","0411"
"Delaware","0035","0424"
"Kansas","0036","0439"
"California","0037","0447"
"Michigan","0038","0449"
"Oklahoma","0039","0466"
"Maryland","0040","0469"
"Arizona","0041","0475"
"South Carolina","0042","0488"
"Missouri","0043","0502"
"Alabama","0044","0520"
"Louisiana","0045","0538"
"Nevada","0046","0541"
"Arkansas","0047","0544"
"Tennessee","0048","0624"
"New Mexico","0049","0857"
"Alaska","0050","0885"
