DATE,CORGSP
2010-01-01,267858.9
2011-01-01,271700.6
2012-01-01,276823.1
2013-01-01,286259.1
2014-01-01,298655.3
2015-01-01,312409.7
2016-01-01,318953.4
2017-01-01,329960.6
2018-01-01,342535.9
2019-01-01,356773.6
2020-01-01,346011.3
