DATE,LARGSP
2010-01-01,246836.2
2011-01-01,234975.7
2012-01-01,235384.7
2013-01-01,228452.8
2014-01-01,235355.1
2015-01-01,233016.0
2016-01-01,228428.5
2017-01-01,233774.4
2018-01-01,236265.6
2019-01-01,235947.6
2020-01-01,222296.8
