DATE,MNRGSP
2010-01-01,287140.1
2011-01-01,293783.2
2012-01-01,298328.3
2013-01-01,305486.4
2014-01-01,314091.3
2015-01-01,318913.2
2016-01-01,324030.3
2017-01-01,328696.1
2018-01-01,338524.5
2019-01-01,340130.4
2020-01-01,326635.6
