DATE,INRGSP
2010-01-01,297517.3
2011-01-01,299064.5
2012-01-01,300513.9
2013-01-01,307279.1
2014-01-01,316783.1
2015-01-01,313751.2
2016-01-01,319601.5
2017-01-01,325841.7
2018-01-01,337149.6
2019-01-01,338350.1
2020-01-01,329863.3
