DATE,SDRGSP
2010-01-01,40369.6
2011-01-01,43049.5
2012-01-01,43901.5
2013-01-01,44147.4
2014-01-01,44846.5
2015-01-01,45664.5
2016-01-01,46076.0
2017-01-01,45878.2
2018-01-01,46454.1
2019-01-01,46641.0
2020-01-01,46682.7
