DATE,MARGSP
2010-01-01,425792.7
2011-01-01,434494.5
2012-01-01,442916.9
2013-01-01,444874.0
2014-01-01,451568.9
2015-01-01,468060.9
2016-01-01,475349.0
2017-01-01,484413.8
2018-01-01,502954.3
2019-01-01,517727.1
2020-01-01,498577.0
