DATE,ORRGSP
2010-01-01,169234.0
2011-01-01,173831.7
2012-01-01,174611.0
2013-01-01,175933.8
2014-01-01,181220.6
2015-01-01,189946.5
2016-01-01,198079.3
2017-01-01,205744.8
2018-01-01,215208.8
2019-01-01,219458.2
2020-01-01,212849.7
