DATE,WVRGSP
2010-01-01,69153.5
2011-01-01,70361.3
2012-01-01,70322.2
2013-01-01,70550.1
2014-01-01,70532.5
2015-01-01,70663.0
2016-01-01,70011.4
2017-01-01,71459.4
2018-01-01,73114.2
2019-01-01,72542.9
2020-01-01,69711.6
