DATE,WYRGSP
2010-01-01,40056.6
2011-01-01,39767.9
2012-01-01,38855.4
2013-01-01,38849.6
2014-01-01,39559.4
2015-01-01,40418.2
2016-01-01,38188.7
2017-01-01,37429.1
2018-01-01,37987.9
2019-01-01,38628.4
2020-01-01,36256.7
