DATE,MORGSP
2010-01-01,270732.9
2011-01-01,268533.8
2012-01-01,271535.1
2013-01-01,274599.3
2014-01-01,276080.7
2015-01-01,279020.8
2016-01-01,279109.2
2017-01-01,282174.2
2018-01-01,285995.1
2019-01-01,290842.0
2020-01-01,282654.2
