DATE,NHRGSP
2010-01-01,67125.8
2011-01-01,67559.1
2012-01-01,68498.1
2013-01-01,69080.3
2014-01-01,70213.7
2015-01-01,72042.4
2016-01-01,73572.2
2017-01-01,74107.3
2018-01-01,75534.6
2019-01-01,77126.5
2020-01-01,75543.1
