DATE,MDRGSP
2010-01-01,325369.7
2011-01-01,332437.2
2012-01-01,332523.5
2013-01-01,334268.9
2014-01-01,339604.6
2015-01-01,348151.8
2016-01-01,360082.0
2017-01-01,366680.5
2018-01-01,368643.9
2019-01-01,369623.9
2020-01-01,353052.5
