DATE,MIRGSP
2010-01-01,404216.9
2011-01-01,414834.4
2012-01-01,422691.2
2013-01-01,428737.6
2014-01-01,434313.2
2015-01-01,443831.2
2016-01-01,452325.2
2017-01-01,457764.9
2018-01-01,467830.4
2019-01-01,467300.2
2020-01-01,445682.6
