DATE,IDRGSP
2010-01-01,58281.8
2011-01-01,58226.2
2012-01-01,58323.9
2013-01-01,60631.2
2014-01-01,62454.0
2015-01-01,63081.2
2016-01-01,65479.0
2017-01-01,66980.5
2018-01-01,71075.4
2019-01-01,73912.0
2020-01-01,73655.4
