DATE,WAPCPI
2010-01-01,42352.0
2011-01-01,44244.0
2012-01-01,47357.0
2013-01-01,47912.0
2014-01-01,50966.0
2015-01-01,53180.0
2016-01-01,55038.0
2017-01-01,57389.0
2018-01-01,60352.0
2019-01-01,63021.0
2020-01-01,67126.0
