DATE,DCPCPI
2010-01-01,63317.0
2011-01-01,66735.0
2012-01-01,67655.0
2013-01-01,67066.0
2014-01-01,70494.0
2015-01-01,74352.0
2016-01-01,76623.0
2017-01-01,78116.0
2018-01-01,80342.0
2019-01-01,80819.0
2020-01-01,86567.0
