DATE,WYPCPI
2010-01-01,46638.0
2011-01-01,50726.0
2012-01-01,54104.0
2013-01-01,53620.0
2014-01-01,57530.0
2015-01-01,57576.0
2016-01-01,54522.0
2017-01-01,56757.0
2018-01-01,59910.0
2019-01-01,61065.0
2020-01-01,61855.0
