DATE,HIPCPI
2010-01-01,41606.0
2011-01-01,42976.0
2012-01-01,44121.0
2013-01-01,44378.0
2014-01-01,46658.0
2015-01-01,48566.0
2016-01-01,50089.0
2017-01-01,52222.0
2018-01-01,53534.0
2019-01-01,55464.0
2020-01-01,58655.0
