DATE,VTPCPI
2010-01-01,41765.0
2011-01-01,44150.0
2012-01-01,45588.0
2013-01-01,46224.0
2014-01-01,48260.0
2015-01-01,49662.0
2016-01-01,50572.0
2017-01-01,51839.0
2018-01-01,53516.0
2019-01-01,55396.0
2020-01-01,59187.0
