DATE,LAPCPI
2010-01-01,38243.0
2011-01-01,39131.0
2012-01-01,41017.0
2013-01-01,41396.0
2014-01-01,43112.0
2015-01-01,43146.0
2016-01-01,42763.0
2017-01-01,44120.0
2018-01-01,46117.0
2019-01-01,47670.0
2020-01-01,50874.0
