DATE,CTPCPI
2010-01-01,61762.0
2011-01-01,63229.0
2012-01-01,64300.0
2013-01-01,62900.0
2014-01-01,65844.0
2015-01-01,67761.0
2016-01-01,69215.0
2017-01-01,70797.0
2018-01-01,73929.0
2019-01-01,75794.0
2020-01-01,78609.0
