DATE,ILPCPI
2010-01-01,42294.0
2011-01-01,44279.0
2012-01-01,46190.0
2013-01-01,47285.0
2014-01-01,49564.0
2015-01-01,51864.0
2016-01-01,52543.0
2017-01-01,54252.0
2018-01-01,57240.0
2019-01-01,59115.0
2020-01-01,62930.0
