DATE,SCPCPI
2010-01-01,32838.0
2011-01-01,34406.0
2012-01-01,35852.0
2013-01-01,36005.0
2014-01-01,37878.0
2015-01-01,39698.0
2016-01-01,40744.0
2017-01-01,42296.0
2018-01-01,43711.0
2019-01-01,45455.0
2020-01-01,48021.0
