DATE,MDPCPI
2010-01-01,49691.0
2011-01-01,51970.0
2012-01-01,53016.0
2013-01-01,52576.0
2014-01-01,54100.0
2015-01-01,56392.0
2016-01-01,58329.0
2017-01-01,60014.0
2018-01-01,61600.0
2019-01-01,62989.0
2020-01-01,66799.0
