DATE,NYPCPI
2010-01-01,48818.0
2011-01-01,51167.0
2012-01-01,53599.0
2013-01-01,54117.0
2014-01-01,56270.0
2015-01-01,58743.0
2016-01-01,60833.0
2017-01-01,64964.0
2018-01-01,67357.0
2019-01-01,69951.0
2020-01-01,74472.0
