DATE,KYOPCI
2010-01-01,32811.0
2011-01-01,34360.0
2012-01-01,35643.0
2013-01-01,36082.0
2014-01-01,36993.0
2015-01-01,38854.0
2016-01-01,39574.0
2017-01-01,40432.0
2018-01-01,41589.0
2019-01-01,43369.0
2020-01-01,44822.0
