DATE,OHPCPI
2010-01-01,36862.0
2011-01-01,39287.0
2012-01-01,40837.0
2013-01-01,41373.0
2014-01-01,42984.0
2015-01-01,44641.0
2016-01-01,45452.0
2017-01-01,46999.0
2018-01-01,48778.0
2019-01-01,50201.0
2020-01-01,53641.0
