DATE,TNOPCI
2010-01-01,35160.0
2011-01-01,37260.0
2012-01-01,38873.0
2013-01-01,39425.0
2014-01-01,40263.0
2015-01-01,42036.0
2016-01-01,43327.0
2017-01-01,44540.0
2018-01-01,46499.0
2019-01-01,48669.0
2020-01-01,49900.0
