DATE,VAPCPI
2010-01-01,45519.0
2011-01-01,47638.0
2012-01-01,49366.0
2013-01-01,48654.0
2014-01-01,50428.0
2015-01-01,52379.0
2016-01-01,53439.0
2017-01-01,55181.0
2018-01-01,56978.0
2019-01-01,58738.0
2020-01-01,61958.0
