DATE,NMPCPI
2010-01-01,33714.0
2011-01-01,35069.0
2012-01-01,35793.0
2013-01-01,35149.0
2014-01-01,37304.0
2015-01-01,38211.0
2016-01-01,38907.0
2017-01-01,39592.0
2018-01-01,41329.0
2019-01-01,43121.0
2020-01-01,46338.0
