"State","Vcrime","PR","UR","PIPC","RGDP","Density","Immigrants","Marriage","Divorce","Temperature"
"South Carolina",545,0.1681,0.0655729947321143,38888.3,190547.62,162.05,4534.1,7.08052658306749,7.2,63.95
"South Dakota",327.98,0.133,0.035658609249941,47970,44702.83,11.2,1202.6,7.02636330193912,7.45,45.6
"Tennessee",626.04,0.1672,0.0621748814860766,41605.2,300041.38,160.75,8966.5,8.42477408637936,10.05,58.9
"Texas",424.29,0.1633,0.0552535085694532,46517.5,1550373.9,103.95,99873.1,6.7705548959734,10.25,66.23
"Utah",220.1,0.1137,0.0431069501220374,39937.8,143002.56,36.65,6322.4,8.25217997488421,10.1,49.49
"Vermont",142.3,0.1105,0.0397578770228103,48697.2,29179.94,68.85,825.3,8.36552124532592,9.15,43.63
"Virginia",202.73,0.1124,0.0481926845824656,51832,457517.03,210.6,27947.9,6.70816913317789,9.05,56.5
"Washington",302.96,0.1241,0.0616695062372112,52181.1,443925.72,108.55,24587.9,6.29415407746463,9.2,47.52
"West Virginia",313.56,0.179,0.0649863810900342,37295.4,70871.05,75.85,786.3,6.54996098455988,10.15,53.11
"Wisconsin",278.36,0.1209,0.052945660011113,45917.1,285536.29,106.9,6541.6,5.42397745217917,6.95,44
"Wyoming",214.12,0.1119,0.0493250293499489,55244.8,38974.12,5.85,449.9,7.38153128257293,10.4,42.57
