DATE,TNRGSP
2010-01-01,268449.8
2011-01-01,276898.3
2012-01-01,286341.5
2013-01-01,289794.6
2014-01-01,294130.1
2015-01-01,304484.2
2016-01-01,310143.2
2017-01-01,318412.0
2018-01-01,322648.5
2019-01-01,329111.6
2020-01-01,316325.3
