DATE,SCRGSP
2010-01-01,172131.0
2011-01-01,176083.2
2012-01-01,177618.1
2013-01-01,180881.6
2014-01-01,185986.9
2015-01-01,192019.9
2016-01-01,198005.7
2017-01-01,202494.3
2018-01-01,207772.7
2019-01-01,212482.8
2020-01-01,208480.5
