DATE,CTRGSP
2010-01-01,244354.7
2011-01-01,238542.4
2012-01-01,240911.9
2013-01-01,236050.6
2014-01-01,235780.9
2015-01-01,242706.5
2016-01-01,243286.7
2017-01-01,247358.5
2018-01-01,249998.1
2019-01-01,251495.1
2020-01-01,235888.6
