DATE,WARGSP
2010-01-01,380989.5
2011-01-01,387745.2
2012-01-01,400530.6
2013-01-01,410873.9
2014-01-01,424467.6
2015-01-01,441952.1
2016-01-01,458263.8
2017-01-01,482824.1
2018-01-01,515629.9
2019-01-01,535980.5
2020-01-01,532861.9
