DATE,DCRGSP
2010-01-01,109986.5
2011-01-01,111646.5
2012-01-01,112157.0
2013-01-01,112332.4
2014-01-01,114553.6
2015-01-01,116808.4
2016-01-01,119644.3
2017-01-01,120898.9
2018-01-01,123836.1
2019-01-01,124990.3
2020-01-01,122342.1
