DATE,TXRGSP
2010-01-01,1309962.4
2011-01-01,1353600.4
2012-01-01,1421180.1
2013-01-01,1484700.1
2014-01-01,1529617.1
2015-01-01,1605901.7
2016-01-01,1619954.2
2017-01-01,1664218.5
2018-01-01,1729286.6
2019-01-01,1785317.9
2020-01-01,1734321.1
