DATE,UTRGSP
2010-01-01,123902.2
2011-01-01,127992.5
2012-01-01,129512.5
2013-01-01,133112.9
2014-01-01,136993.7
2015-01-01,141720.5
2016-01-01,147962.3
2017-01-01,154367.3
2018-01-01,163327.0
2019-01-01,171134.7
2020-01-01,171370.1
