DATE,MTRGSP
2010-01-01,40793.7
2011-01-01,41875.7
2012-01-01,42340.9
2013-01-01,42968.2
2014-01-01,43829.1
2015-01-01,45395.7
2016-01-01,44436.8
2017-01-01,45910.5
2018-01-01,46614.1
2019-01-01,46788.0
2020-01-01,46158.1
