DATE,VTRGSP
2010-01-01,28403.7
2011-01-01,29013.5
2012-01-01,29241.3
2013-01-01,28681.5
2014-01-01,28912.2
2015-01-01,29119.0
2016-01-01,29408.1
2017-01-01,29500.9
2018-01-01,29616.4
2019-01-01,29902.8
2020-01-01,28648.5
