DATE,ILRGSP
2010-01-01,698179.6
2011-01-01,711283.4
2012-01-01,726399.1
2013-01-01,726125.0
2014-01-01,741194.0
2015-01-01,751754.9
2016-01-01,749333.5
2017-01-01,755594.7
2018-01-01,774065.0
2019-01-01,777653.8
2020-01-01,737643.6
