DATE,AKRGSP
2010-01-01,54601.5
2011-01-01,55280.3
2012-01-01,58283.6
2013-01-01,55354.3
2014-01-01,54188.2
2015-01-01,54740.8
2016-01-01,54246.6
2017-01-01,54129.5
2018-01-01,53249.6
2019-01-01,53336.5
2020-01-01,50161.0
