DATE,KYRGSP
2010-01-01,173780.1
2011-01-01,175745.3
2012-01-01,178143.7
2013-01-01,181505.9
2014-01-01,181471.8
2015-01-01,182916.0
2016-01-01,184115.0
2017-01-01,185866.5
2018-01-01,188083.6
2019-01-01,191355.5
2020-01-01,185535.1
