DATE,NVRGSP
2010-01-01,129828.4
2011-01-01,130697.9
2012-01-01,129312.9
2013-01-01,129720.9
2014-01-01,130897.4
2015-01-01,136347.4
2016-01-01,140081.2
2017-01-01,145699.9
2018-01-01,150711.6
2019-01-01,156828.8
2020-01-01,145219.1
