DATE,NMRGSP
2010-01-01,87610.3
2011-01-01,87592.9
2012-01-01,87925.2
2013-01-01,86856.6
2014-01-01,88991.2
2015-01-01,89701.3
2016-01-01,89151.4
2017-01-01,89032.0
2018-01-01,90999.4
2019-01-01,94872.3
2020-01-01,92696.5
