DATE,NDRGSP
2010-01-01,37917.2
2011-01-01,42340.8
2012-01-01,51832.6
2013-01-01,52892.4
2014-01-01,57790.0
2015-01-01,56542.4
2016-01-01,52974.6
2017-01-01,54083.1
2018-01-01,55884.0
2019-01-01,56247.0
2020-01-01,54581.1
