DATE,KSRGSP
2010-01-01,135723.2
2011-01-01,139579.4
2012-01-01,141818.2
2013-01-01,141723.4
2014-01-01,145344.1
2015-01-01,148810.5
2016-01-01,153695.3
2017-01-01,155407.9
2018-01-01,158906.3
2019-01-01,160182.3
2020-01-01,156770.1
