DATE,IARGSP
2010-01-01,150148.4
2011-01-01,152435.2
2012-01-01,158538.4
2013-01-01,158480.8
2014-01-01,166619.2
2015-01-01,171126.5
2016-01-01,170389.1
2017-01-01,170182.7
2018-01-01,172929.4
2019-01-01,172906.0
2020-01-01,169420.3
