DATE,NCRGSP
2010-01-01,437836.5
2011-01-01,443288.7
2012-01-01,445095.3
2013-01-01,452056.2
2014-01-01,462253.1
2015-01-01,475096.6
2016-01-01,482968.9
2017-01-01,496726.5
2018-01-01,504049.5
2019-01-01,514624.9
2020-01-01,499517.5
