DATE,NERGSP
2010-01-01,97466.1
2011-01-01,102587.4
2012-01-01,102725.9
2013-01-01,104680.0
2014-01-01,107936.8
2015-01-01,111401.5
2016-01-01,112611.5
2017-01-01,114480.9
2018-01-01,116904.4
2019-01-01,118286.5
2020-01-01,117664.9
